Name,Career Height,Career Weight,Career Points,Career Games,Career Assists,Career Def Rebounds,Career Off Rebounds,Career Turnovers,Career Blocks,Career Steals,Career Free Throw Percentage,Career Three Point Percentage,Career Field Goal Percentage,Career PER,Career Win Shares,Offensive Win Shares,Defensive Win Shares,Career Usage Percentage,VORP,Box Plus Minus,True Shooting Per,PPG,APG,TPG,BPG,SPG,RPG
Kyle O'Quinn,81.0,250.0,2553.0,469.0,627.0,1522.0,626.0,456.0,451.0,187.0,0.739,0.225,0.517,17.9,17.6,7.5,10.1,18.4,4.8,0.9,0.554,5.443496801705757,1.3368869936034116,0.9722814498933902,0.9616204690831557,0.39872068230277186,4.5799573560767595
Glenn Robinson III,78.0,222.0,1664.0,279.0,218.0,531.0,190.0,142.0,55.0,144.0,0.769,0.372,0.459,11.6,7.5,3.9,3.6,14.8,0.6,-1.5,0.549,5.96415770609319,0.7813620071684588,0.5089605734767025,0.1971326164874552,0.5161290322580645,2.5842293906810037
Alec Burks,78.0,214.0,4980.0,488.0,900.0,1269.0,297.0,622.0,92.0,318.0,0.792,0.358,0.42,13.9,15.9,8.5,7.5,22.5,2.2,-1.2,0.529,10.204918032786885,1.8442622950819672,1.2745901639344261,0.1885245901639344,0.6516393442622951,3.2090163934426226
Zhaire Smith,75.0,199.0,48.0,13.0,12.0,12.0,3.0,8.0,2.0,5.0,0.667,0.316,0.378,7.6,0.0,-0.1,0.1,17.2,-0.1,-6.1,0.477,3.6923076923076925,0.9230769230769231,0.6153846153846154,0.15384615384615385,0.38461538461538464,1.153846153846154
Ryan Broekhoff,78.0,215.0,238.0,59.0,33.0,93.0,13.0,22.0,8.0,11.0,0.815,0.403,0.427,11.4,1.2,0.7,0.5,14.8,0.2,-0.5,0.604,4.033898305084746,0.559322033898305,0.3728813559322034,0.13559322033898305,0.1864406779661017,1.7966101694915255
Mikal Bridges,78.0,210.0,1249.0,147.0,288.0,408.0,115.0,135.0,77.0,222.0,0.825,0.341,0.466,11.7,7.0,3.9,3.1,12.3,1.5,-0.6,0.585,8.496598639455783,1.9591836734693877,0.9183673469387755,0.5238095238095238,1.510204081632653,3.557823129251701
Devin Booker,77.0,210.0,7439.0,334.0,1562.0,1038.0,165.0,1103.0,84.0,264.0,0.868,0.355,0.447,16.8,15.9,12.5,3.3,29.1,4.8,-0.3,0.566,22.272455089820358,4.676646706586826,3.302395209580838,0.25149700598802394,0.7904191616766467,3.601796407185629
Kelly Oubre Jr.,79.0,205.0,3783.0,348.0,327.0,1160.0,283.0,360.0,158.0,315.0,0.778,0.329,0.431,12.5,12.0,4.2,7.7,19.9,0.2,-1.9,0.541,10.870689655172415,0.9396551724137931,1.0344827586206897,0.4540229885057471,0.9051724137931034,4.1465517241379315
Jevon Carter,73.0,195.0,403.0,89.0,134.0,125.0,39.0,64.0,24.0,64.0,0.825,0.365,0.354,9.3,1.0,-0.4,1.4,15.7,0.0,-2.1,0.485,4.52808988764045,1.5056179775280898,0.7191011235955056,0.2696629213483146,0.7191011235955056,1.8426966292134832
Cameron Johnson,80.0,205.0,398.0,49.0,52.0,101.0,39.0,29.0,16.0,30.0,0.761,0.397,0.418,12.2,1.8,1.1,0.7,16.0,0.5,-0.2,0.576,8.122448979591837,1.0612244897959184,0.5918367346938775,0.32653061224489793,0.6122448979591837,2.8571428571428568
Cheick Diallo,80.0,220.0,939.0,177.0,78.0,570.0,173.0,114.0,73.0,54.0,0.77,0.333,0.598,17.0,6.2,3.4,2.8,16.9,0.3,-1.4,0.631,5.305084745762712,0.4406779661016949,0.6440677966101694,0.4124293785310734,0.3050847457627119,4.19774011299435
Aron Baynes,82.0,260.0,2791.0,469.0,374.0,1405.0,718.0,399.0,232.0,101.0,0.8,0.327,0.495,14.1,19.0,9.0,10.0,17.3,-0.2,-2.1,0.556,5.950959488272921,0.7974413646055437,0.8507462686567164,0.4946695095948827,0.21535181236673773,4.526652452025586
Frank Kaminsky,84.0,240.0,3110.0,314.0,523.0,1039.0,241.0,274.0,118.0,145.0,0.749,0.349,0.423,13.8,12.4,6.0,6.3,20.2,2.5,-0.6,0.532,9.904458598726114,1.6656050955414012,0.8726114649681529,0.37579617834394907,0.46178343949044587,4.076433121019108
Deandre Ayton,83.0,250.0,1729.0,101.0,182.0,743.0,346.0,197.0,118.0,83.0,0.753,0.0,0.572,20.5,8.3,5.3,3.0,22.2,1.9,0.3,0.595,17.11881188118812,1.801980198019802,1.9504950495049505,1.1683168316831682,0.8217821782178217,10.782178217821782
Ty Jerome,77.0,195.0,98.0,28.0,43.0,35.0,6.0,18.0,3.0,14.0,0.786,0.277,0.349,8.1,0.0,-0.3,0.3,17.6,-0.1,-3.8,0.437,3.5,1.5357142857142858,0.6428571428571429,0.10714285714285714,0.5,1.4642857142857142
Tariq Owens,82.0,205.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.2,8.4,0.0,0.0,0.0,16.7,0.0,-5.9,0.34,1.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0
Cameron Payne,75.0,190.0,914.0,153.0,382.0,231.0,43.0,154.0,28.0,104.0,0.775,0.331,0.397,11.4,2.2,0.2,2.0,19.4,-0.2,-2.3,0.482,5.973856209150327,2.496732026143791,1.0065359477124183,0.1830065359477124,0.6797385620915033,1.7908496732026142
CJ McCollum,75.0,197.0,8723.0,473.0,1464.0,1260.0,284.0,824.0,177.0,404.0,0.827,0.397,0.455,17.2,31.5,21.9,9.7,26.1,11.1,1.0,0.551,18.441860465116278,3.095137420718816,1.7420718816067653,0.37420718816067655,0.854122621564482,3.2642706131078225
Hassan Whiteside,84.0,235.0,5576.0,404.0,277.0,3411.0,1367.0,660.0,985.0,238.0,0.606,0.32,0.582,24.3,44.9,21.8,23.1,21.8,13.2,2.8,0.598,13.801980198019802,0.6856435643564357,1.6336633663366336,2.4381188118811883,0.5891089108910891,11.826732673267328
Damian Lillard,74.0,195.0,14586.0,607.0,3932.0,2162.0,377.0,1683.0,192.0,592.0,0.889,0.371,0.436,21.9,79.9,65.2,14.6,28.4,36.9,4.6,0.578,24.029654036243823,6.477759472817134,2.772652388797364,0.3163097199341021,0.9752883031301482,4.182866556836903
Gary Trent Jr.,77.0,209.0,446.0,68.0,55.0,78.0,21.0,23.0,15.0,40.0,0.767,0.374,0.413,11.0,1.4,0.9,0.4,16.0,0.0,-2.0,0.532,6.5588235294117645,0.8088235294117647,0.3382352941176471,0.22058823529411764,0.5882352941176471,1.4558823529411764
Carmelo Anthony,80.0,240.0,26314.0,1114.0,3244.0,5372.0,1879.0,2919.0,550.0,1121.0,0.812,0.348,0.448,19.9,102.0,66.6,35.4,30.4,35.7,1.6,0.541,23.621184919210055,2.912028725314183,2.6202872531418313,0.49371633752244165,1.0062836624775584,6.508976660682227
Nassir Little,77.0,220.0,172.0,48.0,22.0,77.0,31.0,15.0,14.0,13.0,0.636,0.237,0.43,9.7,0.6,0.3,0.3,13.7,-0.2,-3.5,0.505,3.5833333333333335,0.4583333333333333,0.3125,0.2916666666666667,0.2708333333333333,2.25
Trevor Ariza,80.0,215.0,11215.0,1064.0,2297.0,4086.0,1044.0,1441.0,331.0,1584.0,0.732,0.352,0.423,13.2,62.6,24.5,38.1,16.7,21.8,0.7,0.536,10.540413533834586,2.1588345864661656,1.3543233082706767,0.31109022556390975,1.4887218045112782,4.821428571428571
Rodney Hood,80.0,208.0,4247.0,341.0,645.0,860.0,120.0,379.0,67.0,262.0,0.839,0.372,0.426,13.2,17.1,9.6,7.5,20.8,3.4,-0.5,0.542,12.454545454545455,1.8914956011730206,1.1114369501466275,0.19648093841642228,0.7683284457478006,2.873900293255132
Caleb Swanigan,81.0,260.0,169.0,75.0,56.0,159.0,59.0,73.0,11.0,14.0,0.614,0.118,0.438,6.8,-0.2,-0.9,0.7,16.5,-0.7,-6.2,0.471,2.2533333333333334,0.7466666666666667,0.9733333333333334,0.14666666666666667,0.18666666666666668,2.9066666666666667
Wenyen Gabriel,81.0,220.0,60.0,28.0,8.0,28.0,18.0,16.0,6.0,10.0,0.7,0.3,0.435,9.6,0.2,0.0,0.2,14.5,-0.1,-3.9,0.547,2.142857142857143,0.2857142857142857,0.5714285714285714,0.21428571428571427,0.35714285714285715,1.6428571428571428
Jaylen Hoard,80.0,216.0,38.0,13.0,4.0,18.0,14.0,4.0,0.0,5.0,0.615,0.0,0.469,14.9,0.2,0.1,0.1,17.2,0.0,-1.9,0.504,2.923076923076923,0.3076923076923077,0.3076923076923077,0.0,0.38461538461538464,2.4615384615384617
Zach Collins,83.0,232.0,831.0,146.0,129.0,399.0,158.0,141.0,99.0,42.0,0.73,0.324,0.442,10.9,3.7,0.8,2.9,16.0,-0.3,-2.5,0.53,5.691780821917808,0.8835616438356164,0.9657534246575342,0.678082191780822,0.2876712328767123,3.815068493150685
Jaylen Adams,74.0,190.0,108.0,34.0,65.0,49.0,11.0,28.0,5.0,14.0,0.778,0.338,0.345,7.6,0.1,-0.1,0.2,13.5,-0.2,-4.3,0.474,3.176470588235294,1.911764705882353,0.8235294117647058,0.14705882352941177,0.4117647058823529,1.7647058823529411
Buddy Hield,76.0,220.0,4908.0,308.0,678.0,1041.0,253.0,521.0,81.0,241.0,0.869,0.411,0.442,15.6,13.1,7.2,5.9,24.6,6.0,0.8,0.566,15.935064935064934,2.2012987012987013,1.6915584415584415,0.262987012987013,0.7824675324675324,4.201298701298701
Harrison Barnes,80.0,225.0,8263.0,604.0,982.0,2350.0,601.0,711.0,115.0,421.0,0.796,0.375,0.447,13.3,33.9,17.7,16.3,19.7,4.6,-1.0,0.544,13.68046357615894,1.6258278145695364,1.1771523178807948,0.19039735099337748,0.6970198675496688,4.885761589403973
Cory Joseph,75.0,200.0,4070.0,592.0,1703.0,1228.0,298.0,584.0,132.0,452.0,0.766,0.331,0.441,12.2,24.0,10.8,13.1,15.8,3.9,-0.8,0.514,6.875,2.876689189189189,0.9864864864864865,0.22297297297297297,0.7635135135135135,2.5777027027027026
De'Aaron Fox,75.0,185.0,3163.0,199.0,1214.0,583.0,106.0,541.0,88.0,267.0,0.718,0.335,0.448,16.3,8.5,3.7,4.9,25.4,2.5,-0.3,0.528,15.894472361809045,6.100502512562814,2.7185929648241207,0.44221105527638194,1.3417085427135678,3.4623115577889445
Richaun Holmes,82.0,240.0,2229.0,265.0,251.0,867.0,446.0,213.0,258.0,162.0,0.724,0.257,0.584,19.0,17.0,11.1,6.0,17.5,3.3,0.7,0.625,8.41132075471698,0.9471698113207547,0.8037735849056604,0.9735849056603774,0.6113207547169811,4.9547169811320755
Harry Giles,83.0,240.0,673.0,96.0,134.0,282.0,99.0,108.0,36.0,52.0,0.679,0.0,0.524,15.2,2.4,0.7,1.7,21.7,-0.1,-2.2,0.548,7.010416666666667,1.3958333333333333,1.125,0.375,0.5416666666666666,3.96875
Justin James,79.0,190.0,85.0,34.0,16.0,24.0,6.0,8.0,9.0,6.0,0.476,0.346,0.423,11.5,0.2,0.0,0.2,19.0,0.1,-0.7,0.487,2.5,0.47058823529411764,0.23529411764705882,0.2647058823529412,0.17647058823529413,0.8823529411764707
