Name,Career Height,Career Weight,Career Points,Career Games,Career Assists,Career Def Rebounds,Career Off Rebounds,Career Turnovers,Career Blocks,Career Steals,Career Free Throw Percentage,Career Three Point Percentage,Career Field Goal Percentage,Career Win Shares,Offensive Win Shares,Defensive Win Shares,Career Usage Percentage,Box Plus Minus,True Shooting Per,PPG,APG,TPG,BPG,SPG,RPG
Lonzo Ball,78.0,190.0,524.0,36.0,274.0,183.0,33.0,89.0,28.0,66.0,0.673,0.412,0.551,6.8,4.8,2.0,18.1,12.0,0.673,14.555555555555555,7.611111111111111,2.4722222222222223,0.7777777777777778,1.8333333333333333,6.0
Jaxson Hayes,83.0,220.0,320.0,32.0,9.0,104.0,56.0,29.0,71.0,19.0,0.74,-999.0,0.728,4.3,2.8,1.5,17.2,10.1,0.739,10.0,0.28125,0.90625,2.21875,0.59375,5.0
Jrue Holiday,75.0,180.0,296.0,35.0,129.0,88.0,44.0,75.0,18.0,55.0,0.726,0.307,0.45,3.3,1.2,2.1,19.3,-999.0,0.532,8.457142857142857,3.6857142857142855,2.142857142857143,0.5142857142857142,1.5714285714285714,3.7714285714285714
J.J. Redick,76.0,190.0,2769.0,139.0,306.0,309.0,66.0,296.0,9.0,152.0,0.912,0.406,0.433,23.5,18.4,5.1,25.7,-999.0,0.615,19.92086330935252,2.2014388489208634,2.129496402877698,0.06474820143884892,1.0935251798561152,2.697841726618705
E'Twaun Moore,76.0,191.0,2136.0,140.0,400.0,459.0,151.0,289.0,59.0,164.0,0.729,0.38,0.44,19.3,9.9,9.4,27.5,10.2,0.536,15.257142857142858,2.857142857142857,2.0642857142857145,0.42142857142857143,1.1714285714285715,4.357142857142857
Frank Jackson,82.0,-999.0,261.0,52.0,15.0,-999.0,-999.0,-999.0,50.0,8.0,0.55,-999.0,0.472,0.6,0.6,0.0,-999.0,-999.0,0.499,5.019230769230769,0.28846153846153844,-19.21153846153846,0.9615384615384616,0.15384615384615385,-38.42307692307692
Derrick Favors,82.0,246.0,448.0,36.0,37.0,195.0,108.0,90.0,74.0,32.0,0.629,0.0,0.611,4.8,2.3,2.5,21.8,-999.0,0.621,12.444444444444445,1.0277777777777777,2.5,2.0555555555555554,0.8888888888888888,8.416666666666668
Nickeil Alexander-Walker,77.0,205.0,902.0,67.0,184.0,227.0,39.0,149.0,36.0,92.0,0.763,0.383,0.464,7.9,4.3,3.6,24.6,7.3,0.582,13.462686567164178,2.746268656716418,2.2238805970149254,0.5373134328358209,1.373134328358209,3.970149253731343
Kenrich Williams,79.0,210.0,1125.0,102.0,271.0,573.0,304.0,145.0,71.0,141.0,0.625,0.375,0.484,14.0,8.4,5.6,17.6,8.9,0.559,11.029411764705882,2.656862745098039,1.4215686274509804,0.696078431372549,1.3823529411764706,8.598039215686274
Jahlil Okafor,83.0,270.0,657.0,38.0,49.0,188.0,134.0,95.0,54.0,29.0,0.51,-999.0,0.664,6.7,4.5,2.2,27.6,10.4,0.641,17.289473684210527,1.2894736842105263,2.5,1.4210526315789473,0.7631578947368421,8.473684210526315
Zion Williamson,79.0,285.0,746.0,33.0,68.0,177.0,116.0,78.0,59.0,70.0,0.64,0.338,0.68,8.3,5.5,2.8,28.6,20.1,0.702,22.606060606060606,2.0606060606060606,2.3636363636363638,1.7878787878787878,2.121212121212121,8.878787878787879
Josh Gray,73.0,182.0,684.0,94.0,275.0,166.0,42.0,228.0,4.0,123.0,0.651,0.216,0.392,1.6,-0.8,2.3,23.2,-2.2,0.451,7.276595744680851,2.925531914893617,2.425531914893617,0.0425531914893617,1.3085106382978724,2.2127659574468086
Darius Miller,80.0,225.0,1248.0,152.0,278.0,339.0,150.0,214.0,100.0,114.0,0.815,0.379,0.448,13.9,8.1,5.9,17.3,8.1,0.568,8.210526315789474,1.8289473684210527,1.4078947368421053,0.6578947368421053,0.75,3.2171052631578947
Sindarius Thornwell,77.0,215.0,1941.0,132.0,390.0,471.0,214.0,331.0,78.0,199.0,0.771,0.339,0.392,16.1,8.2,7.9,25.8,7.7,0.518,14.704545454545455,2.9545454545454546,2.507575757575758,0.5909090909090909,1.5075757575757576,5.1893939393939394
Bobby Portis,83.0,242.0,1047.0,70.0,92.0,332.0,219.0,97.0,104.0,74.0,0.737,0.365,0.526,10.5,6.6,3.8,24.2,8.4,0.574,14.957142857142857,1.3142857142857143,1.3857142857142857,1.4857142857142858,1.0571428571428572,7.871428571428572
Kevin Knox,81.0,215.0,576.0,37.0,53.0,167.0,33.0,85.0,10.0,31.0,0.774,0.341,0.445,4.0,2.3,1.7,24.6,5.1,0.556,15.567567567567568,1.4324324324324325,2.2972972972972974,0.2702702702702703,0.8378378378378378,5.405405405405405
Julius Randle,81.0,250.0,599.0,40.0,57.0,277.0,139.0,101.0,31.0,20.0,0.706,0.167,0.501,5.9,3.5,2.4,25.4,7.5,0.567,14.975,1.425,2.525,0.775,0.5,10.4
Taj Gibson,81.0,225.0,1307.0,105.0,142.0,592.0,304.0,260.0,253.0,77.0,0.629,-999.0,0.58,18.5,8.4,10.1,19.2,-999.0,0.597,12.447619047619048,1.3523809523809525,2.4761904761904763,2.4095238095238094,0.7333333333333333,8.533333333333333
RJ Barrett,79.0,202.0,860.0,38.0,164.0,229.0,59.0,123.0,16.0,34.0,0.665,0.308,0.454,6.5,3.8,2.7,32.2,8.6,0.532,22.63157894736842,4.315789473684211,3.236842105263158,0.42105263157894735,0.8947368421052632,7.578947368421052
Damyean Dotson,77.0,209.0,1732.0,134.0,149.0,509.0,166.0,154.0,21.0,101.0,0.796,0.38,0.464,16.2,10.5,5.7,21.5,6.2,0.574,12.925373134328359,1.1119402985074627,1.1492537313432836,0.15671641791044777,0.753731343283582,5.037313432835821
Elfrid Payton,75.0,180.0,1426.0,100.0,486.0,360.0,148.0,336.0,51.0,197.0,0.611,0.268,0.485,10.9,6.1,4.9,25.6,4.0,0.533,14.26,4.86,3.36,0.51,1.97,5.08
Wayne Ellington,76.0,200.0,1694.0,115.0,258.0,343.0,126.0,175.0,14.0,109.0,0.809,0.397,0.463,13.5,8.0,5.4,22.1,-999.0,0.577,14.730434782608695,2.243478260869565,1.5217391304347827,0.12173913043478261,0.9478260869565217,4.078260869565217
Dennis Smith Jr.,75.0,-999.0,10.0,3.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,1.0,-999.0,0.667,0.1,0.1,0.0,-999.0,-999.0,0.719,3.3333333333333335,0.0,-333.0,0.0,0.0,-666.0
Reggie Bullock,79.0,-999.0,129.0,46.0,19.0,-999.0,-999.0,-999.0,6.0,28.0,0.522,0.1,0.426,0.2,-0.1,0.3,-999.0,-999.0,0.448,2.8043478260869565,0.41304347826086957,-21.717391304347824,0.13043478260869565,0.6086956521739131,-43.43478260869565
Maurice Harkless,80.0,208.0,497.0,32.0,47.0,188.0,88.0,80.0,45.0,51.0,0.676,0.215,0.452,3.2,1.8,1.3,24.9,4.0,0.504,15.53125,1.46875,2.5,1.40625,1.59375,8.625
Ignas Brazdeikis,79.0,215.0,548.0,37.0,31.0,158.0,43.0,46.0,18.0,26.0,0.773,0.392,0.462,5.5,2.8,2.7,26.1,8.9,0.573,14.81081081081081,0.8378378378378378,1.2432432432432432,0.4864864864864865,0.7027027027027027,5.4324324324324325
Theo Pinson,78.0,195.0,757.0,122.0,416.0,389.0,147.0,186.0,39.0,96.0,0.746,0.257,0.427,6.6,3.5,3.1,16.8,7.2,0.52,6.204918032786885,3.4098360655737703,1.5245901639344261,0.319672131147541,0.7868852459016393,4.393442622950819
Shai Gilgeous-Alexander,78.0,180.0,532.0,37.0,189.0,120.0,33.0,100.0,18.0,61.0,0.817,0.404,0.485,5.2,3.3,1.9,21.9,9.0,0.578,14.378378378378379,5.108108108108108,2.7027027027027026,0.4864864864864865,1.6486486486486487,4.135135135135135
Chris Paul,72.0,175.0,948.0,63.0,395.0,202.0,43.0,171.0,13.0,160.0,0.838,0.47,0.472,9.4,6.3,3.1,20.6,-999.0,0.622,15.047619047619047,6.26984126984127,2.7142857142857144,0.20634920634920634,2.5396825396825395,3.8888888888888893
Steven Adams,84.0,250.0,231.0,32.0,20.0,113.0,90.0,35.0,65.0,21.0,0.443,-999.0,0.571,3.5,1.6,1.9,17.7,8.1,0.555,7.21875,0.625,1.09375,2.03125,0.65625,6.34375
Nerlens Noel,82.0,228.0,251.0,24.0,38.0,162.0,65.0,45.0,106.0,50.0,0.529,-999.0,0.59,3.9,1.6,2.3,17.4,12.1,0.583,10.458333333333334,1.5833333333333333,1.875,4.416666666666667,2.0833333333333335,9.458333333333334
Abdel Nader,78.0,230.0,1207.0,117.0,127.0,399.0,104.0,267.0,71.0,95.0,0.731,0.305,0.391,3.7,0.2,3.5,27.5,-0.5,0.484,10.316239316239317,1.0854700854700854,2.282051282051282,0.6068376068376068,0.811965811965812,4.299145299145299
Mike Muscala,83.0,234.0,2036.0,133.0,211.0,792.0,301.0,217.0,271.0,56.0,0.819,0.313,0.501,22.9,14.6,8.3,28.4,8.9,0.574,15.308270676691729,1.586466165413534,1.631578947368421,2.037593984962406,0.42105263157894735,8.218045112781954
Hamidou Diallo,77.0,190.0,371.0,37.0,46.0,102.0,33.0,51.0,13.0,28.0,0.616,0.338,0.428,2.4,1.1,1.3,22.6,2.9,0.498,10.027027027027026,1.2432432432432432,1.3783783783783783,0.35135135135135137,0.7567567567567568,3.6486486486486482
Deonte Burton,73.0,190.0,2102.0,130.0,515.0,320.0,54.0,280.0,53.0,169.0,0.751,0.337,0.439,17.2,13.9,3.3,25.3,5.3,0.562,16.16923076923077,3.9615384615384617,2.1538461538461537,0.4076923076923077,1.3,2.876923076923077
Luguentz Dort,76.0,215.0,547.0,34.0,79.0,101.0,44.0,99.0,7.0,52.0,0.7,0.307,0.405,3.1,1.5,1.6,27.9,3.1,0.518,16.08823529411765,2.323529411764706,2.911764705882353,0.20588235294117646,1.5294117647058822,4.264705882352941
Devon Hall,77.0,210.0,884.0,128.0,264.0,363.0,44.0,115.0,20.0,73.0,0.807,0.389,0.419,11.6,5.2,6.5,17.6,6.7,0.538,6.90625,2.0625,0.8984375,0.15625,0.5703125,3.1796875
Andre Roberson,79.0,210.0,1012.0,105.0,119.0,736.0,309.0,183.0,150.0,164.0,0.582,0.35,0.516,13.7,6.2,7.5,19.0,7.8,0.561,9.638095238095238,1.1333333333333333,1.7428571428571429,1.4285714285714286,1.561904761904762,9.952380952380953
Markelle Fultz,76.0,195.0,579.0,25.0,148.0,110.0,33.0,80.0,30.0,40.0,0.649,0.413,0.476,3.9,3.3,0.6,31.4,9.4,0.558,23.16,5.92,3.2,1.2,1.6,5.720000000000001
Terrence Ross,78.0,195.0,847.0,69.0,82.0,244.0,77.0,94.0,45.0,63.0,0.764,0.364,0.453,7.4,4.7,2.7,23.8,7.5,0.557,12.27536231884058,1.1884057971014492,1.3623188405797102,0.6521739130434783,0.9130434782608695,4.6521739130434785
Aaron Gordon,81.0,225.0,470.0,38.0,75.0,201.0,102.0,55.0,39.0,34.0,0.422,0.356,0.495,5.4,2.1,3.3,23.2,8.4,0.503,12.368421052631579,1.9736842105263157,1.4473684210526316,1.0263157894736843,0.8947368421052632,7.973684210526316
D.J. Augustin,72.0,180.0,1234.0,73.0,452.0,170.0,41.0,220.0,3.0,100.0,0.808,0.402,0.443,10.7,6.2,4.5,20.9,-999.0,0.569,16.904109589041095,6.191780821917808,3.0136986301369864,0.0410958904109589,1.36986301369863,2.8904109589041096
Wesley Iwundu,79.0,205.0,1249.0,132.0,366.0,466.0,152.0,280.0,52.0,121.0,0.688,0.338,0.463,10.6,4.8,5.7,19.9,4.9,0.54,9.462121212121213,2.772727272727273,2.121212121212121,0.3939393939393939,0.9166666666666666,4.681818181818182
